,,,,
,,,,
,,,,
,,,,
,,,,
﻿,,,,
Axis,Energy,Elements=,201,
686.88,,54785.5,,25093.4
686.78,,57078.1,,25073.8
686.68,,60774.3,,25052.5
686.58,,64953.2,,25029
686.48,,68043.1,,25003.3
686.38,,72363.5,,24975
686.28,,76694.5,,24944.3
686.18,,79701.3,,24911.2
686.08,,83115.9,,24875.7
685.98,,85889.1,,24838.2
685.88,,88090.5,,24799.1
685.78,,88152.1,,24759
685.68,,88415.1,,24718.1
685.58,,88143.6,,24677.1
685.48,,86550.9,,24636.5
685.38,,85064,,24597
685.28,,79931.9,,24558.9
685.18,,76275.4,,24523
685.08,,72443.3,,24489.5
684.98,,66637.9,,24459.1
684.88,,61333.3,,24431.7
684.78,,56865.4,,24407.4
684.68,,52660.4,,24386.2
684.58,,47660.2,,24367.9
684.48,,44590,,24352.2
684.38,,40988.1,,24338.9
684.28,,38252.5,,24327.9
684.18,,35049.5,,24318.8
684.08,,33424.9,,24311.2
683.98,,31840.7,,24305
683.88,,30975.5,,24300
683.78,,28947.8,,24295.9
683.68,,28077.6,,24292.6
683.58,,27099.8,,24289.9
683.48,,26700,,24287.9
683.38,,26408.6,,24286.2
683.28,,25994,,24284.8
683.18,,25937.3,,24283.7
683.08,,25300.7,,24282.6
682.98,,25815.5,,24281.7
682.88,,25216.1,,24281
682.78,,24994.5,,24280.4
682.68,,24814.2,,24279.8
682.58,,24546.9,,24279.5
682.48,,24603.4,,24279.1
682.38,,25083.9,,24278.8
682.28,,24889.6,,24278.5
682.18,,24768.5,,24278.1
682.08,,24978.3,,24277.7
681.98,,24473.2,,24277.5
681.88,,24200,,24277.3
681.78,,24253.1,,24277.2
681.68,,24690.1,,24277
681.58,,24774.8,,24276.9
681.48,,24174.6,,24276.9
681.38,,24051,,24276.7
681.28,,24890.2,,24276.5
681.18,,24864.5,,24276.4
681.08,,24447.6,,24276.2
680.98,,24935.4,,24275.9
680.88,,24448.6,,24275.6
680.78,,24550.9,,24275.5
680.68,,24206.2,,24275.4
680.58,,24133,,24275.3
680.48,,24325.6,,24275.3
680.38,,24335.9,,0
680.28,,24375.8,,0
680.18,,24546.4,,0
680.08,,24463.8,,0
679.98,,24012.2,,0
679.88,,23878.3,,0
679.78,,24198.4,,0
679.68,,24286.9,,0
679.58,,24159.6,,0
679.48,,24324.9,,0
679.38,,24184.6,,0
679.28,,24220.5,,0
679.18,,24571.2,,0
679.08,,24411.1,,0
678.98,,24350.5,,0
678.88,,24443.8,,0
678.78,,24472.6,,0
678.68,,24439.1,,0
678.58,,24369.8,,0
678.48,,24257.7,,0
678.38,,24345.4,,0
678.28,,24712.7,,0
678.18,,24518.5,,0
678.08,,24233.2,,0
